id,update number,time
0,0,547917500
2,0,898468800
5,0,982300300
3,0,990508700
4,0,991041600
1,0,992137300
8,0,1093857000
6,0,1324003300
7,0,1325180600
6,1,1330574700
7,1,1332710000
9,0,1456161600
6,1,101424005700
0,1,101424184800
1,1,101424406400
5,1,101432436000
8,1,101432307200
4,1,101433109400
7,1,101433573700
9,1,101436106800
2,1,101436295000
3,1,101445098700
4,2,154533736400
2,2,154533991500
6,2,154534045100
7,2,154534311800
1,2,154534313700
3,2,154534817600
9,2,154535109400
0,2,154535160900
8,2,154535829700
5,2,154535976400
1,3,195507417400
0,3,195507431600
9,3,195507894200
6,3,195508309200
3,3,195517135500
8,3,195517295500
7,3,195518114800
5,3,195517448400
2,3,195519916000
4,3,195517265400
0,4,224237762200
4,4,224245483500
1,4,224248529600
6,4,224248636400
9,4,224248768300
7,4,224257978500
3,4,224258028600
5,4,224258033900
2,4,224260096200
8,4,224260736600
9,5,233986919100
0,5,233991054100
6,5,233991081200
1,5,233991138900
3,5,233995072500
4,5,234000056800
5,5,234000932400
2,5,234002074500
7,5,234004707500
8,5,234005720700
6,6,257254622200
9,6,257259063900
1,6,257259071600
0,6,257259182100
7,6,257263331100
8,6,257265189700
3,6,257268991800
4,6,257269574200
5,6,257270618900
2,6,257271656200
9,7,263765455800
8,7,263765465200
0,7,263765483600
1,7,263765525000
6,7,263766872500
3,7,263767452000
7,7,263767654500
4,7,263767765800
2,7,263768141100
5,7,263768159800
1,8,268219519000
9,8,268220388300
0,8,268222790400
6,8,268226183600
5,8,268228981000
3,8,268229590900
2,8,268230388300
4,8,268234237500
8,8,268237798700
7,8,268237818100
1,9,305552237800
9,9,305556542500
6,9,305559053700
0,9,305559600900
2,9,305562150400
5,9,305562346400
3,9,305565861400
4,9,305568849200
7,9,305569324000
8,9,305569498400
1,10,329834875700
9,10,329834973900
6,10,329834979400
0,10,329835065900
3,10,329844033200
8,10,329844219000
7,10,329844494400
4,10,329844690900
2,10,329844746700
5,10,329845756200
0,11,354061070900
4,11,354069637500
1,11,354069871300
6,11,354069891500
9,11,354070081600
7,11,354078148100
5,11,354078752700
3,11,354079466800
8,11,354080316000
2,11,354081467100
6,12,368118900700
0,12,368118938100
1,12,368119009000
9,12,368119896400
7,12,368127633600
3,12,368127813600
4,12,368128475100
8,12,368129028700
5,12,368129731500
2,12,368129908900
1,13,373650940600
2,13,373658323100
5,13,373661684300
9,13,373662218600
6,13,373662269800
0,13,373662319300
4,13,373670223200
3,13,373670545600
8,13,373670635700
7,13,373672432100
6,14,401294240300
1,14,401294929400
9,14,401297409600
0,14,401297620700
7,14,401302693600
2,14,401303337700
8,14,401304138200
5,14,401306679000
3,14,401307537200
4,14,401309168800
1,15,408048929700
0,15,408048929800
6,15,408049361200
8,15,408058275000
4,15,408058347300
5,15,408058617200
2,15,408059631000
7,15,408059686900
9,15,408074004300
3,15,408082548100
1,16,416984794800
0,16,416984849400
9,16,416984986100
6,16,416985137000
4,16,416993550900
3,16,416993616600
8,16,416993776200
7,16,416994754800
5,16,416995067300
2,16,416995533700
1,17,437747853800
0,17,437754746300
2,17,437757105600
5,17,437758472800
6,17,437761552700
9,17,437761849600
4,17,437764486800
8,17,437770872800
3,17,437771458500
7,17,437772514100
6,18,442130662500
1,18,442130870000
7,18,442131315000
2,18,442131513800
5,18,442131849300
9,18,442132063900
3,18,442132111100
0,18,442132275000
8,18,442132296400
4,18,442132826600
9,19,444855069500
1,19,444856432800
0,19,444856444900
6,19,444856583600
4,19,444864690300
3,19,444864767300
2,19,444865177600
8,19,444865350000
5,19,444866137700
7,19,444867108300
0,20,458984769000
1,20,458986809100
6,20,458987162300
9,20,458991932100
2,20,458995336400
4,20,458995564000
8,20,458997062200
5,20,458997187300
7,20,458998503800
3,20,459002597700
9,21,482514967000
6,21,482516504800
1,21,482516774400
0,21,482521823900
8,21,482523706100
3,21,482523728800
2,21,482525716700
5,21,482526262700
7,21,482526753900
4,21,482532609700
